price,sqft,bedroom,bathroom,balcony,age,flooring,furnishing,facing,parking,gated_security,amenities,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor,price/sqft
22500000,2000,3,3,3,3,1,2,2,1,0,13,Bellandur,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11250
21600000,2400,4,4,4,0,1,1,4,2,1,14,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9000
14400000,1700,3,3,3,0,1,1,4,2,1,14,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8470.588235
33000000,2170,3,3,2,3,0,2,2,1,0,0,Bellandur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15207.37327
34100000,2147,4,4,2,0,1,1,5,2,1,10,Bellandur,1,1,1,0,1,0,0,1,1,1,1,0,1,1,15882.62692
23500000,1499,3,3,2,0,1,1,5,2,1,10,Bellandur,1,1,1,0,1,0,0,1,1,1,1,0,1,1,15677.11808
16600000,1134,2,2,2,0,1,1,5,2,1,10,Bellandur,1,1,1,0,1,0,0,1,1,1,1,0,1,1,14638.44797
15500000,1588,3,2,3,3,1,2,2,1,1,9,Bellandur,1,1,1,0,0,1,1,1,1,1,0,0,0,1,9760.70529
10000000,1542,3,3,3,4,3,2,3,2,1,12,Bellandur,1,1,1,0,1,1,0,1,1,1,1,1,1,1,6485.084306
26000000,1800,3,3,5,3,1,3,3,2,1,14,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14444.44444
8500000,1120,2,2,1,3,1,2,2,1,1,7,Bellandur,1,0,1,0,1,1,1,1,0,1,0,0,0,0,7589.285714
6800000,1080,2,2,1,3,1,2,2,2,1,8,Bellandur,0,0,1,1,0,1,1,1,0,1,1,0,0,1,6296.296296
24000000,1800,3,3,5,2,1,2,2,2,1,14,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13333.33333
6000000,1156,2,2,2,3,3,2,1,2,1,5,Bellandur,0,1,0,0,0,0,0,1,0,1,0,0,1,1,5190.311419
7200000,964,2,2,1,4,1,2,3,2,1,2,Bellandur,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7468.879668
